Protein accession number	Protein Name	location		
YCR092C	"MSH3  Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability"	nuclear		
YDR097C	"MSH6 (PMS3) Protein required for mismatch repair in mitosis and meiosis, forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; potentially phosphorylated by Cdc28p"	nuclear		
YIR009W	"MSL1 (YIB9,YIB9w) U2B component of U2 snRNP, involved in splicing, binds the U2 snRNA stem-loop IV in vitro; does not contain the conserved C-terminal RNA binding domain found in other family members"	nuclear		
YLR116W	"MSL5 (BBP) Component of the commitment complex, which defines the first step in the splicing pathway; essential protein that interacts with Mud2p and Prp40p, forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA"	nuclear		
YDR335W	"MSN5 (STE21,KAP142) Karyopherin involved in nuclear import and export; shown to be responsible for nuclear import of replication protein A and for export of several proteins including Swi6p, Far1p, and Pho4p; cargo dissociation involves binding to RanGTP"	nuclear		
YOR160W	"MTR10 (KAP111) Nuclear import receptor, mediates the nuclear localization of proteins involved in mRNA-nucleus export"	nuclear		
YKL186C	"MTR2  mRNA transport regulator, essential nuclear protein; Mex67p and Mtr2p form a mRNA export complex which binds to RNA"	nuclear		
YGR158C	"MTR3  3'5' exoribonuclease, exosome subunit; nucleolar protein involved in export of mRNA and ribosomal subunits; homologous to the E. coli exonuclease RNase PH"	nuclear		
YJL050W	"MTR4 (DOB1) Dead-box family ATP dependent helicase required for mRNA export from the nucleus; co-factor of the exosome complex, required for 3' end formation of 5.8S rRNA"	nuclear		
YAL034W-A	"MTW1 (NSL2,DSN3) Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly"	nuclear		
YBR119W	"MUD1 (U1-A,U1A) U1 snRNP A protein, homolog of human U1-A; involved in nuclear mRNA splicing"	nuclear		
YKL074C	"MUD2  Protein involved in early pre-mRNA splicing; component of the pre-mRNA-U1 snRNP complex, the commitment complex; interacts with Msl5p/BBP splicing factor and Sub2p; similar to metazoan splicing factor U2AF65"	nuclear		
YGL122C	NAB2  Nuclear polyadenylated RNA-binding protein; autoregulates mRNA levels; related to human hnRNPs; has nuclear localization signal sequence that binds to Kap104p; required for poly(A) tail length control and nuclear mRNA export	nuclear		
YPL190C	NAB3 (HMD1) Single stranded DNA binding protein; acidic ribonucleoprotein; required for termination of non-poly(A) transcripts and efficient splicing; interacts with Nrd1p	nuclear		
YNL124W	"NAF1  Protein required for the assembly of box H/ACA snoRNPs and for pre-rRNA processing, forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; has similarity to Gar1p and other RNA-binding proteins"	nuclear		
YHR086W	"NAM8 (MUD15,MRE2) RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of MER2 pre-mRNA"	nuclear		
YPL126W	"NAN1 (UTP17) U3 snoRNP protein, component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA"	nuclear		
YKR048C	NAP1  Protein that interacts with mitotic cyclin Clb2p; required for the regulation of microtubule dynamics during mitosis; controls bud morphogenesis; involved in the transport of H2A and H2B histones to the nucleus	nuclear		
YDR397C	NCB2 (YDR1) Beta subunit of the NC2 dimeric histone-fold complex; represses RNA polymerase II transcription through binding to TBP and inhibition of TFIIA and TFIIB; homologous to the Dr1 subunit of the mammalian NC2 (negative cofactor2)	nuclear		
YBL024W	"NCL1 (TRM4) S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120"	nuclear		
YML031W	"NDC1  Nuclear envelope protein with multiple putative transmembrane domains, required for nuclear pore complex assembly and spindle pole body duplication; required for meiosis II"	nuclear		
YJL076W	"NET1 (SRM8,CFI1,ESC5) Core subunit of the RENT complex, which is a complex involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure"	nuclear		
YCL017C	NFS1 (SPL1) Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria	nuclear		
YDR176W	"NGG1 (SWI7,ADA3) Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex"	nuclear		
YDL208W	"NHP2  Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing"	nuclear		
YPR052C	"NHP6A  High-mobility group non-histone chromatin protein, functionally redundant with Nhp6Bp; homologous to mammalian high mobility group proteins 1 and 2; acts to recruit transcription factor Rcs1p to certain promoters"	nuclear		
YBR089C-A	"NHP6B (YBR090C-A) High-mobility group non-histone chromatin protein, functionally redundant with Nhp6Ap; homologous to mammalian high mobility group proteins 1 and 2; acts to recruit transcription factor Rcs1p to certain promoters"	nuclear		
YFR002W	"NIC96  Component of the nuclear pore complex, required for nuclear pore formation; forms a subcomplex with Nsp1p, Nup57p, and Nup49p"	nuclear		
YPL211W	"NIP7  Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p"	nuclear		
YLR328W	"NMA1  Nicotinic acid mononucleotide adenylyltransferase, involved in NAD(+) salvage pathway"	nuclear		
YGR010W	"NMA2  Nicotinic acid mononucleotide adenylyltransferase, involved in NAD(+) salvage pathway"	nuclear		
YJR112W	NNF1  Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation	nuclear		
YOR056C	NOB1 (YOR29-07) Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA	nuclear		
YOR206W	"NOC2  Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-ribosomes; both complexes mediate intranuclear transport of ribosomal precursors"	nuclear		
YLR002C	NOC3  Protein that forms a nuclear complex with Noc2p that binds to 66S ribosomal precursors to mediate their intranuclear transport; also binds to chromatin to promote the association of DNA replication factors and replication initiation	nuclear		
YPR144C	"NOC4 (UTP19) Nucleolar protein, forms a complex with Nop14p that mediates maturation and nuclear export of 40S ribosomal subunits"	nuclear		
YPL093W	NOG1  Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins	nuclear		
YNR053C	NOG2  Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation	nuclear		
YDL014W	"NOP1 (LOT3) Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin"	nuclear		
YHR072W-A	"NOP10  Constituent of small nucleolar ribonucleoprotein particles containing H/ACA-type snoRNAs, which are required for pseudouridylation and processing of pre-18S rRNA"	nuclear		
YOL041C	"NOP12  Nucleolar protein, required for pre-25S rRNA processing; contains an RNA recognition motif (RRM) and has similarity to Nop13p, Nsr1p, and putative orthologs in Drosophila and S. pombe"	nuclear		
YNL175C	"NOP13  Protein of unknown function, localizes to the nucleolus and nucleoplasm; contains an RNA recognition motif (RRM) and has similarity to Nop12p, which is required for processing of pre-18S rRNA"	nuclear		
YDL148C	"NOP14 (UTP2) Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA"	nuclear		
YNL110C	"NOP15  Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm"	nuclear		
YER002W	"NOP16  Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis"	nuclear		
YNL061W	"NOP2 (YNA1) Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles"	nuclear		
YPL043W	"NOP4 (NOP77) Nucleolar protein, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs (RRMs)"	nuclear		
YPL146C	NOP53 (RRP16) Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p; null mutant is viable but growth is severely impaired	nuclear		
YOR310C	"NOP58 (NOP5) Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA"	nuclear		
YDL213C	"NOP6  Protein with similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions; computational analysis of large-scale protein-protein interaction data suggests a possible role in rRNA processing"	nuclear		
YGR103W	NOP7 (YPH1) Nucleolar protein involved in rRNA processing and 60S ribosomal subunit biogenesis; constituent of several different pre-ribosomal particles	nuclear		
YOL144W	NOP8  Nucleolar protein required for 60S ribosomal subunit biogenesis	nuclear		
YIL038C	"NOT3  Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation"	nuclear		
YPR072W	"NOT5  Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation"	nuclear		
YDR432W	"NPL3 (NAB1,NOP3,MTS1,MTR13) RNA-binding protein that carries poly(A)+ mRNA from the nucleus into the cytoplasm; phosphorylation by Sky1p in the cytoplasm may promote release of mRNAs"	nuclear		
YMR091C	NPL6  Nuclear protein that may have a role in nuclear protein import and maintenance of proper telomere length	nuclear		
YNL251C	"NRD1  RNA-binding protein that interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), required for transcription termination and 3' end maturation of nonpolyadenylated RNAs"	nuclear		
YGL111W	"NSA1  Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis"	nuclear		
YER126C	"NSA2  Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis"	nuclear		
YPL233W	NSL1  Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation	nuclear		
YJL041W	"NSP1  Essential component of the nuclear pore complex, which mediates nuclear import and export"	nuclear		
YGR159C	"NSR1 (SHE5) Nucleolar protein that binds nuclear localization sequences, required for pre-rRNA processing and ribosome biogenesis"	nuclear		
YBR188C	"NTC20  Member of a complex, including Prp19p, that binds to the spliceosome; required for pre-mRNA splicing"	nuclear		
YOL069W	"NUF2  Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering"	nuclear		
YER006W	"NUG1  GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus"	nuclear		
YOR098C	"NUP1  Nuclear pore complex (NPC) subunit, involved in protein import/export and in export of RNAs, possible karyopherin release factor that accelerates release of karyopherin-cargo complexes after transport across NPC; potential Cdc28p substrate"	nuclear		
YKL068W	NUP100 (NSP100) Subunit of the nuclear pore complex (NPC) that is localized to both sides of the pore; contains a repetitive GLFG motif that interacts with mRNA export factor Mex67p and with karyopherin Kap95p; homologous to Nup116p	nuclear		
YMR047C	NUP116 (NSP116) Subunit of the nuclear pore complex (NPC) that is localized to both sides of the pore; contains a repetitive GLFG motif that interacts with mRNA export factor Mex67p and with karyopherin Kap95p; homologous to Nup100p	nuclear		
YKL057C	"NUP120 (RAT2) Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), required for even distribution of NPCs around the nuclear envelope, involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p"	nuclear		
YKR082W	"NUP133 (RAT3) Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p"	nuclear		
YGL092W	"NUP145 (RAT10) Essential nucleoporin, catalyzes its own cleavage in vivo to generate a C-terminal fragment that assembles into the Nup84p subcomplex of the nuclear pore complex, and an N-terminal fragment of unknown function that is homologous to Nup100p"	nuclear		
YER105C	"NUP157  Abundant subunit of the nuclear pore complex (NPC), present on both sides of the NPC, has similarity to Nup170p"	nuclear		
YIL115C	"NUP159 (RAT7,NUP158) Subunit of the nuclear pore complex that is found exclusively on the cytoplasmic side, forms a subcomplex with Nup82p and Nsp1p, required for mRNA export"	nuclear		
YML103C	"NUP188  Subunit of the nuclear pore complex (NPC), involved in the structural organization of the complex and of the nuclear envelope, also involved in nuclear envelope permeability, interacts with Pom152p and Nic96p"	nuclear		
YLR335W	"NUP2  Protein involved in nucleocytoplasmic transport, binds to either the nucleoplasmic or cytoplasmic faces of the nuclear pore complex depending on Ran-GTP levels; also has a role in chromatin organization"	nuclear		
YGL172W	"NUP49 (NSP49) Subunit of the Nsp1p-Nup57p-Nup49p-Nic96p subcomplex of the nuclear pore complex (NPC), required for nuclear export of ribosomes"	nuclear		
YGR119C	"NUP57  Essential subunit of the nuclear pore complex (NPC), functions as the organizing center of an NPC subcomplex containing Nsp1p, Nup49p, Nup57p, and Nic96p"	nuclear		
YAR002W	"NUP60  Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; potential Cdc28p substrate; involved in telomere maintenance"	nuclear		
YJL061W	"NUP82 (HRB187) Subunit of the nuclear pore complex (NPC), forms a subcomplex with Nup159p and Nsp1p, interacts with Nup116p and is required for proper localization of Nup116p in the NPC"	nuclear		
YDL116W	"NUP84  Subunit of the nuclear pore complex (NPC), forms a subcomplex with Nup85p, Nup120p, Nup145p-C, Sec13p, and Seh1p that plays a role in nuclear mRNA export and NPC biogenesis"	nuclear		
YJR042W	"NUP85 (RAT9) Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), required for assembly of the subcomplex and also for formation of the nucleocytoplasmic Gsp1p concentration gradient that plays a role in nuclear trafficking"	nuclear		
YAL051W	"OAF1 (YAF1) Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"	nuclear		
YGR179C	"OKP1  Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly"	nuclear		
YML065W	"ORC1  Largest subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; may be phosphorylated by Cdc28p"	nuclear		
YBR060C	"ORC2 (SIR5,RRR1) Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; may be phosphorylated by Cdc28p"	nuclear		
YLL004W	"ORC3  Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing"	nuclear		
YPR162C	"ORC4  Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing"	nuclear		
YHR118C	"ORC6  Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; may be phosphorylated by Cdc28p"	nuclear		
YHR179W	"OYE2 (Old Yellow Enzyme) Widely conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with slight differences in ligand binding and catalytic properties; may be involved in sterol metabolism"	nuclear		
YER165W	"PAB1  Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G"	nuclear		
YBR279W	"PAF1  RNA polymerase II-associated protein, defines a large complex that is biochemically and functionally distinct from the Srb-Mediator form of Pol II holoenzyme and is required for full expression of a subset of cell cycle-regulated genes"	nuclear		
YKR002W	"PAP1  Poly(A) polymerase, one of three factors required for mRNA 3'-end polyadenylation, forms multiprotein complex with polyadenylation factor I (PF I), also required for mRNA nuclear export; may also polyadenylate rRNAs"	nuclear		
YOL115W	"PAP2 (TRF4) Catalytic subunit of TRAMP (Trf4/Pap2p-Mtr4p-Air1p/2p), a nuclear poly (A) polymerase complex involved in RNA quality control; catalyzes polyadenylation of unmodified tRNAs, and snoRNA and rRNA precursors; disputed role as a DNA polymerase"	nuclear		
YDL053C	"PBP4  Pbp1p binding protein, interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system"	nuclear		
YDR228C	"PCF11  mRNA 3' end processing factor, essential component of cleavage and polyadenylation factor IA (CF IA), involved in pre-mRNA 3' end processing and in transcription termination; binds C-terminal domain of largest subunit of RNA pol II (Rpo21p)"	nuclear		
YGR202C	"PCT1 (CCT1,BSR2) Cholinephosphate cytidylyltransferase, also known as CTP:phosphocholine cytidylyltransferase, rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding"	nuclear		
YLR044C	"PDC1  Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism"	nuclear		
YGL013C	"PDR1 (TPE3,TPE1,TIL1,SMR2,NRA2,CYH3,BOR2,ANT1,AMY1) Zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes"	nuclear		
YDR113C	"PDS1  Securin that inhibits anaphase by binding separin Esp1p, also blocks cyclin destruction and mitotic exit, essential for cell cycle arrest in mitosis in the presence of DNA damage or aberrant mitotic spindles; also present in meiotic nuclei"	nuclear		
YMR076C	"PDS5  Protein required for establishment and maintenance of sister chromatid condensation and cohesion, colocalizes with cohesin on chromosomes in an interdependent manner, may function as a protein-protein interaction scaffold"	nuclear		
YNL317W	PFS2  Integral subunit of the pre-mRNA cleavage and polyadenylation factor (CPF) complex; plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex	nuclear		
YNL097C	"PHO23  Probable component of the Rpd3 histone deacetylase complex, involved in transcriptional regulation of PHO5; C-terminus has similarity to human candidate tumor suppressor p33(ING1)"	nuclear		
YGR233C	"PHO81  Cyclin-dependent kinase (CDK) inhibitor, regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; required for derepression of PHO5; transcriptionally regulated by Pho4p and Pho2p"	nuclear		
YPL031C	"PHO85 (LDB15) Cyclin-dependent kinase, with ten cyclin partners; involved in environmental stress response; in phosphate-rich conditions, Pho85p-Pho80p complex phosphorylates Pho4p which in turn represses PHO5"	nuclear		
YOR386W	"PHR1  DNA photolyase involved in photoreactivation, repairs pyrimidine dimers in the presence of visible light; induced by DNA damage; regulated by transcriptional repressor Rph1p"	nuclear		
YHR034C	"PIH1 (NOP17) Protein of unresolved function; may function in protein folding and/or rRNA processing, interacts with a chaperone (Hsp82p), two chromatin remodeling factors (Rvb1p, Rvb2p) and two rRNA processing factors (Rrp43p, Nop58p)"	nuclear		
YLR016C	"PML1  Subunit of the RES complex, which is required for nuclear retention of unspliced pre-mRNAs; acts in the same pathway as Pml39p and Mlp1p"	nuclear		
YNL082W	"PMS1  ATP-binding protein required for mismatch repair in mitosis and meiosis; functions as a heterodimer with Mlh1p, binds double- and single-stranded DNA via its N-terminal domain, similar to E. coli MutL"	nuclear		
YGL037C	"PNC1  Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span"	nuclear		
YOR145C	"PNO1 (RRP20,DIM2) Essential nucleolar protein required for pre-18S rRNA processing, interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain"	nuclear		
YML069W	"POB3  Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which facilitates RNA Polymerase II transcription elongation through nucleosomes by destabilizing and then reassembling nucleosome structure"	nuclear		
YNL102W	"POL1 (HPR3,CRT5,CDC17) Catalytic subunit of the DNA polymerase alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis"	nuclear		
YBL035C	"POL12  B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation"	nuclear		
YNL262W	"POL2 (DUN2) Catalytic subunit of DNA polymerase epsilon, one of the major chromosomal DNA replication polymerases characterized by processivity and proofreading exonuclease activity; also involved in DNA synthesis during DNA repair"	nuclear		
YBR088C	"POL30 (PCNA) Proliferating cell nuclear antigen (PCNA), functions as the sliding clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair"	nuclear		
YJR043C	"POL32  Third subunit of DNA polymerase delta, involved in chromosomal DNA replication; required for error-prone DNA synthesis in the presence of DNA damage and processivity; interacts with Hys2p, PCNA (Pol30p), and Pol1p"	nuclear		
YEL055C	"POL5  Protein with sequence similarity to the human MybBP1A and weak sequence similar to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA"	nuclear		
YNL221C	"POP1  Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in Rnase P"	nuclear		
YBR257W	"POP4  Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in Rnase P"	nuclear		
YAL033W	"POP5 (FUN53) Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends"	nuclear		
YGR030C	"POP6  Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends"	nuclear		
YBR167C	"POP7 (RPP2) Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends"	nuclear		
YNR032W	"PPG1  Putative serine/threonine protein phosphatase, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases"	nuclear		
YDL188C	"PPH22 (PPH2) Catalytic subunit of protein phosphatase 2A, functionally redundant with Pph21p; methylated at C terminus; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis"	nuclear		
YDR075W	"PPH3  Catalytic subunit of protein phosphatase; involved in activation of Gln3p, which is a transcription factor with a role in nitrogen utilization"	nuclear		
YER012W	PRE1  20S proteasome beta-type subunit; localizes to the nucleus throughout the cell cycle	nuclear		
YIR008C	"PRI1  Subunit of DNA primase, which is required for DNA synthesis and double-strand break repair"	nuclear		
YDL043C	"PRP11 (RNA11) Subunit of the SF3a splicing factor complex, required for spliceosome assembly"	nuclear		
YLL036C	"PRP19 (PSO4) Splicing factor associated with the spliceosome; contains a U-box, a motif found in a class of ubiquitin ligases"	nuclear		
YNR011C	"PRP2 (RNA2) RNA-dependent ATPase in the DEAH-box family, required for activation of the spliceosome before the first transesterification step in RNA splicing"	nuclear		
YJL203W	"PRP21 (SPP91) Subunit of the SF3a splicing factor complex, required for spliceosome assembly"	nuclear		
YER013W	"PRP22  DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes"	nuclear		
YDR243C	"PRP28  RNA helicase in the DEAD-box family, involved in RNA isomerization at the 5' splice site"	nuclear		
YDR473C	"PRP3 (RNA3) Splicing factor, component of the U4/U6-U5 snRNP complex"	nuclear		
YGR091W	"PRP31  Splicing factor, component of the U4/U6-U5 snRNP complex"	nuclear		
YGR075C	"PRP38  Unique component of the U4/U6.U5 tri-snRNP particle, dispensable for spliceosome assembly, but required for conformational changes which lead to catalytic activation of the spliceosome"	nuclear		
YML046W	"PRP39  U1 snRNP protein involved in splicing, contains multiple tetriatricopeptide repeats"	nuclear		
YPR178W	"PRP4 (RNA4) Splicing factor, component of the U4/U6-U5 snRNP complex"	nuclear		
YKL012W	"PRP40  U1 snRNP protein involved in splicing, interacts with the branchpoint-binding protein during the formation of the second commitment complex"	nuclear		
YDR235W	"PRP42 (SNU65,MUD16) U1 snRNP protein involved in splicing, required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats"	nuclear		
YGL120C	"PRP43 (JA1) RNA helicase in the DEAH-box family, involved in release of the lariat-intron from the spliceosome"	nuclear		
YAL032C	"PRP45 (FUN20) Ortholog of human transcriptional coactivator SKIP, can activate transcription of a reporter gene; interacts with splicing factors Prp22p and Prp46p"	nuclear		
YPL151C	PRP46 (NTC50) Splicing factor that is found in the Cef1p subcomplex of the spliceosome	nuclear		
YBR237W	"PRP5 (RNA5) RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA"	nuclear		
YBR055C	"PRP6 (TSM7269,RNA6) Splicing factor, component of the U4/U6-U5 snRNP complex"	nuclear		
YHR165C	"PRP8 (USA2,SLT21,RNA8,DNA39,DBF3) Component of the U4/U6-U5 snRNP complex, involved in the second catalytic step of splicing"	nuclear		
YDL030W	"PRP9  Subunit of the SF3a splicing factor complex, required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex"	nuclear		
YMR308C	"PSE1 (KAP121) Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p"	nuclear		
YDR013W	"PSF1 (CDC101) Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"	nuclear		
YJL072C	"PSF2 (CDC102) Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"	nuclear		
YOL146W	"PSF3  Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"	nuclear		
YNL201C	"PSY2  Nuclear protein of unknown function; deletion results in sensitivity to anticancer drugs oxaliplatin and cisplatin, but not mitomycin C; deletion is synthetically lethal with a chitin synthase (CHS1) null mutant"	nuclear		
YAL043C	"PTA1 (FUN39) Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	nuclear		
YDL006W	"PTC1 (TPD1,KCS2,CWH47) Type 2C protein phosphatase (PP2C); inactivates the osmosensing MAPK cascade by dephosphorylating Hog1p; mutation delays mitochondrial inheritance; deletion reveals defects in precursor tRNA splicing, sporulation and cell separation"	nuclear		
YER089C	PTC2  Type 2C protein phosphatase; dephosphorylates Hog1p to limit maximal osmostress induced kinase activity; dephosphorylates Ire1p to downregulate the unfolded protein response; dephosphorylates Cdc28p; role in DNA checkpoint inactivation	nuclear		
YBL056W	PTC3  Type 2C protein phosphatase; dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA checkpoint inactivation	nuclear		
YGR156W	PTI1  Pta1p Interacting protein	nuclear		
